Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,a large teh tarik,a large milk tea,0.2168
1,a small teh tarik,a small milk tea,0.1612
2,kopi on a table,coffee on a table,0.0956
3,kopi on a counter,coffee on a counter,0.2231
4,two people getting kopi,two people getting coffee,0.2983
5,a man buying kopi,a man buying coffee,0.2067
6,a woman with kopi,a woman with coffee,0.1291
7,a painting of an ang pow,a painting of a red packet,0.642
8,a person holding an ang pow,a person holding a red packet,0.742
9,let's get some food tapao,let's get some food takeout,0.3683
10,a couple getting food tapao,a couple getting food takeout,0.2014
11,a kiasu businessman,a businessman with a grasping and selfish attitude,0.4751
12,a kiasu leader,a leader with a grasping and selfish attitude,0.1181
13,a kiasu student,a student with a grasping and selfish attitude,0.3745
14,a kiasu parent,a parent with a grasping and selfish attitude,0.6168
15,a kiasu businesswoman,a businesswoman with a grasping and selfish attitude,0.4098
16,a kiasu politician,a politician with a grasping and selfish attitude,0.2998
17,a sian woman,a bored woman,0.1623
18,a sian worker,a bored worker,0.3458
19,a child sian,a child bored,0.6635
20,a sian man,a bored man,0.2552
21,people lepak on a beach,people relaxing on a beach,0.2189
22,people lepak on a coach,people relaxing on a coach,0.4624
23,a couple lepak in a park,a couple relaxing in a park,0.5478
24,a person gesturing can,a person gesturing yes,0.6232
25,a person answering can,a person answering yes,0.4371
26,a worker gesturing can,a worker gesturing yes,0.863
27,a student gesturing can,a student gesturing yes,0.6828
28,a woman gesturing can,a woman gesturing yes,0.624
29,a man gesturing can,a man gesturing yes,0.6102
30,a student chope,a student saving a table,0.4746
31,a man chope,a man saving a table,0.5151
32,a woman chope,a woman saving a table,0.335
33,a group chope,a group saving a table,0.5032
34,chope at a cafe,saving a table at a cafe,0.181
35,chope with a napkin,saving a table with a napkin,0.6821
36,a painting of something that is shiok,a painting of something that is very tasty,0.6915
37,an atas party,a high class party,0.7904
38,an atas car,a high class car,0.2111
39,an ulu trail,a secluded trail,0.3941
40,a woman makan noodles,a woman eating noodles,0.5028
41,a painting of someone makan,a painting of someone eating,0.4286
42,a person makan salad,a person eating a salad,0.5734
43,a man makan a taco,a man eating a taco,0.7856
44,people makan,people eating,0.2325
45,a man makan a burrito,a man eating a burrito,0.4868
46,a family zhng their house,a family redecorates their house,0.4391
47,a worker zhng her office space,a worker redecorates her office space,0.5246
48,a couple zhng their garage,a couple redecorate their garage,0.6547
49,a woman zhng her room,a woman redecorates her room,0.1815
50,a man zhng his desk,a man redecorates his desk,0.5437
