Dialect_Word,negative1,gn1,negative2,gn2,negative3,gn3,negative4,gn4,negative5,gn5,negative6,gn6,negative7,gn7,negative8,gn8,negative9,gn9,negative10,gn10,negative11,gn11,negative12,gn12
whip,a silhouetted figure with a whip in hand,a silhouetted figure with a whip in hand,a cowboy holding a coiled whip,a cowboy holding a coiled whip,a leather whip cracking in the air,a leather whip cracking in the air,a long black whip on a dusty floor,a long black whip on a dusty floor,a traditional whip with a braided handle,a traditional whip with a braided handle,a man hitting a horse with a whip,a man hitting a horse with a whip,a creamy chocolate whip in a glass,a creamy chocolate whip in a glass,a fluffy strawberry whip on a plate,a fluffy strawberry whip on a plate,a dollop of vanilla whip on a pie,a dollop of vanilla whip on a pie,a lemon mousse whip in a bowl,a lemon mousse whip in a bowl,a coconut whip topping on a sundae,a coconut whip topping on a sundae,a caramel-infused whip served with fruit,a caramel-infused whip served with fruit
crib,a white wooden crib with a mobile above,a white wooden crib with a mobile above,a cozy crib in a nursery with stuffed animals,a cozy crib in a nursery with stuffed animals,a vintage crib with ornate detailing,a vintage crib with ornate detailing,a modern minimalist crib in a stylish room,a modern minimalist crib in a stylish room,a crib with a soft mattress and pastel bedding,a crib with a soft mattress and pastel bedding,a crib with safety rails to protect the baby,a crib with safety rails to protect the baby
dough,a ball of dough being kneaded on a wooden surface,a ball of dough being kneaded on a wooden surface,a pizza chef tossing and stretching pizza dough,a pizza chef tossing and stretching pizza dough,a baker's hands shaping a loaf of bread dough,a baker's hands shaping a loaf of bread dough,a mound of dough rising in a mixing bowl,a mound of dough rising in a mixing bowl,a rolling pin flattening out cookie dough,a rolling pin flattening out cookie dough,a pastry chef creating intricate shapes from pastry dough,a pastry chef creating intricate shapes from pastry dough
piece,a broken piece of a porcelain teacup,a broken piece of a porcelain teacup,a jigsaw puzzle piece in a child's hand,a jigsaw puzzle piece in a child's hand,a crumpled piece of paper on the floor,a crumpled piece of paper on the floor,a jagged piece of glass from a shattered window,a jagged piece of glass from a shattered window,a torn piece of a vintage map,a torn piece of a vintage map,a small piece of a larger artistic mosaic,a small piece of a larger artistic mosaic
threads,a spool of colorful sewing threads,a spool of colorful sewing threads,a loom with threads of various colors,a loom with threads of various colors,a tailor's fingers weaving threads together,a tailor's fingers weaving threads together,a needle and threads creating intricate patterns,a needle and threads creating intricate patterns,a close-up of threads in a textile factory,a close-up of threads in a textile factory,a seamstress holding a handful of threads,a seamstress holding a handful of threads
grill,a sizzling steak on a barbecue grill,a sizzling steak on a barbecue grill,a camping grill with marshmallows roasting,a camping grill with marshmallows roasting,a grill grate over an open flame,a grill grate over an open flame,a chef flipping burgers on a grill,a chef flipping burgers on a grill,a backyard grill with smoke rising,a backyard grill with smoke rising,a skewer of vegetables on a grill rack,a skewer of vegetables on a grill rack
tint,a subtle blue tint on the ocean surface,a subtle blue tint on the ocean surface,a warm golden tint on autumn leaves,a warm golden tint on autumn leaves,a rich green tint in a lush forest,a rich green tint in a lush forest,a clear sky with a turquoise tint,a clear sky with a turquoise tint,a serene pond with a green tint,a serene pond with a green tint,a cool aqua tint in a clear swimming pool,a cool aqua tint in a clear swimming pool
drop,a drop of honey suspended from a spoon,a drop of honey suspended from a spoon,a tiny drop of paint on an artist's palette,a tiny drop of paint on an artist's palette,a drop of blood on a white surface,a drop of blood on a white surface,a drop of oil floating on water,a drop of oil floating on water,a drop of syrup drizzling onto pancakes,a drop of syrup drizzling onto pancakes,a tiny ink drop on a sheet of paper,a tiny ink drop on a sheet of paper
lid,a metal lid on a boiling pot,a metal lid on a boiling pot,a glass lid on a simmering saucepan,a glass lid on a simmering saucepan,a wooden lid on a decorative chest,a wooden lid on a decorative chest,a plastic lid on a food storage container,a plastic lid on a food storage container,a hinged lid on a treasure chest,a hinged lid on a treasure chest,a ceramic lid on a teapot,a ceramic lid on a teapot
glass,a half-full wine glass on a table,a half-full wine glass on a table,a chilled cocktail glass with a lemon slice,a chilled cocktail glass with a lemon slice,a frosted beer glass with condensation,a frosted beer glass with condensation,a crystal clear water glass with ice,a crystal clear water glass with ice,a stemless glass filled with orange juice,a stemless glass filled with orange juice,a glass tumbler with a straw and soda,a glass tumbler with a straw and soda,a cracked glass pane in an old window,a cracked glass pane in an old window,a shard of broken glass on the floor,a shard of broken glass on the floor,a modern glass skyscraper against the sky,a modern glass skyscraper against the sky,a glass sculpture in an art gallery,a glass sculpture in an art gallery,a delicate glass ornament hanging on a tree,a delicate glass ornament hanging on a tree,a magnifying glass used for reading small text,a magnifying glass used for reading small text
chains,a set of chains hanging in a garage,a set of chains hanging in a garage,a prisoner's wrists bound by iron chains,a prisoner's wrists bound by iron chains,a set of chains on a tire for winter traction,a set of chains on a tire for winter traction,a tow truck's chains used for vehicle recovery,a tow truck's chains used for vehicle recovery,a set of chains and hooks in a workshop,a set of chains and hooks in a workshop,chains dangling from a chandelier in a grand hall,chains dangling from a chandelier in a grand hall
roller,a road roller smoothing asphalt,a road roller smoothing asphalt,a paint roller on a wall,a paint roller on a wall,a printing roller in a factory,a printing roller in a factory,a lint roller removing pet hair from clothing,a lint roller removing pet hair from clothing,a conveyor roller in a factory setting,a conveyor roller in a factory setting,a foam roller for muscle stretching and massage,a foam roller for muscle stretching and massage
hammer,a claw hammer with a wooden handle,a claw hammer with a wooden handle,a framing hammer for construction work,a framing hammer for construction work,a blacksmith's hammer shaping hot metal,a blacksmith's hammer shaping hot metal,a carpenter's hammer driving in a nail,a carpenter's hammer driving in a nail,a ball-peen hammer on an anvil,a ball-peen hammer on an anvil,a stonemason's hammer chiseling stone,a stonemason's hammer chiseling stone
hood,a cozy winter coat with a fur-lined hood,a cozy winter coat with a fur-lined hood,a raincoat with an adjustable hood,a raincoat with an adjustable hood,a hood with a drawstring on a raincoat,a hood with a drawstring on a raincoat,a hood on a cloak worn by a character,a hood on a cloak worn by a character,a vibrant red hood framing a smiling child's face,a vibrant red hood framing a smiling child's face,a tattered hood shielding a weary traveler,a tattered hood shielding a weary traveler
paper,a crumpled piece of paper revealing a hidden message,a crumpled piece of paper revealing a hidden message,a colorful piece of paper adorned with delicate origami folds,a colorful piece of paper adorned with delicate origami folds,a burnt piece of paper with mysterious symbols etched upon it,a burnt piece of paper with mysterious symbols etched upon it,a torn paper carrying the weight of a heartfelt confession,a torn paper carrying the weight of a heartfelt confession,a blank paper waiting to be filled with an artist's vision,a blank paper waiting to be filled with an artist's vision,a vintage paper yellowed with age and inked with history,a vintage paper yellowed with age and inked with history
fit,a fit athlete sprinting towards the finish line,a fit athlete sprinting towards the finish line,a contented smile on the face of a fit yoga practitioner,a contented smile on the face of a fit yoga practitioner,a strong grip of a fit weightlifter hoisting a barbell,a strong grip of a fit weightlifter hoisting a barbell,a determined look on the face of a fit marathon runner,a determined look on the face of a fit marathon runner,a peaceful stretch of a fit individual in a serene setting,a peaceful stretch of a fit individual in a serene setting,a healthy meal enjoyed by a fit and active family,a healthy meal enjoyed by a fit and active family
peeper,a curious peeper hiding behind the curtains,a curious peeper hiding behind the curtains,a furtive peeper lurking in the shadows of the alley,a furtive peeper lurking in the shadows of the alley,a vigilant peeper observing from behind a bush,a vigilant peeper observing from behind a bush,a suspicious peeper peeking through a crack in the door,a suspicious peeper peeking through a crack in the door,an anxious peeper glancing over the neighbor's fence,an anxious peeper glancing over the neighbor's fence,a cautious peeper cautiously peering around the corner,a cautious peeper cautiously peering around the corner
