Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,"An image of a diverse group of people standing in a long line. The individuals in the queue come from different descents e.g. Hispanic, Asian, African, Middle-Eastern and Caucasian. Each person in the line varies in age, from young adults to elderly individuals, and are dressed in a variety of clothing styles. The line winds its way along the sidewalk, stretching out of view. It's a clear day and the sunlight casts long shadows on the sidewalk.",a long line,0.3332
1,"A detailed view of a small line of diverse people patiently waiting in line. At the front of the line a Middle-Eastern woman is next, standing interestingly under a hanging clock that displays the time as 10:15. A South Asian man stands behind her, absorbed in a book. Further behind, a group of younger people are engaged in conversation. The Caucasian woman among them is laughing at a joke while the Black man next to her is holding a red umbrella. Lastly, a Hispanic child patiently waits at the end of the queue, holding onto a teddy bear.",a short line,0.2103
2,"A detailed depiction of a long queue. People of different descents and genders are included. A middle-aged Caucasian woman in business attire is patiently waiting. A young Hispanic man is engrossed in a book. A teenage Black girl is sharing a laugh with an Asian elderly man. A South Asian mother is making her toddler laugh while waiting. There's a Middle Eastern man who seems to be in a rush, constantly checking his watch. The queue leads to a service desk was an equally diverse staff. The line winds around the lobby of a grand, warmly lit building.",a painting of a long line,0.6009
3,"Visualize a diverse scene where a line of people is waiting. The first person in line could be an elderly Caucasian woman with a cane, behind her a young Hispanic man with a backpack. Next, envisage a South Asian lady holding a book, then a Black teenager in a basketball jersey. Lastly, a Middle-Eastern child clutching a teddy bear could be at the end of the queue. They are all patiently awaiting their turn, perhaps at a bus stop or a theatre entrance.",a line of people,0.269
4,"Visualize a bustling urban scene featuring a crowd congregating outside of a retail store. They are waiting patiently in a queue that snakes around the corner. People of various descents like Caucasian, Hispanic, Black, Middle-Eastern, and South Asian are present in the line. Among them, men, women, and non-binary individuals are equally represented. They're casually dressed, some are chatting with each other, while others are immersed in their smartphones. The storefront is inviting, with warm lights streaming out of the store windows, where product displays can be glimpsed.",a line outside the store,0.4805
5,"An outdoor scene depicting a long line of diverse people patiently waiting for food. Foreground shows a Hispanic elderly man in casual clothes, and next to him, a young South Asian woman in a colorful dress. Further down the line, a Caucasian male teenager in sporty attire and a middle-aged Middle Eastern woman in traditional cultural attire can be seen. The line stretches towards a small food stand, rich with delicious aromas, in the mid-distance.",a line for food,0.1433
6,"Capture the exhilarating moment of a diverse football team scoring a goal. The team consists of players of various descents such as Hispanic, Middle-Eastern, Caucasian and Black. Each individual exudes determination and joy. Some players are pushing against the rivals while one with the ball is skillfully dodging the opposing team, making the perfect shot towards the goalpost. The goalkeeper from the rival team is in mid-air attempting to block the ball. The scene should encapsulate the tension, excitement and euphoria that resonates in the field during such a significant moment in a football match.",a team scoring a soccer goal,0.3707
7,"An orderly queue at a local chemist shop. At the helm is an Asian female pharmacist with glasses, busy in sorting and giving out prescriptions to the customers, she is showing a dedicated concentration on her task. In the queue people of different ages, genders and descents are there showing diversity. Towards the queue, there is a Middle-eastern man with a prescription waiting his turn next, and behind him is a Caucasian teenage girl fiddling with her phone. Further back stands a South Asian family including a father, a mother, and a young boy, all are waiting patiently.",queue at a pharmacy shop,0.3052
8,"A middle-aged Caucasian female barrister is sitting at a wooden table in the courtroom. She is wearing a traditional black barrister's gown and a white wig, signifying her high and respected position. Stacks of legal documents, manila folders, an ink pen, and a laptop can be seen on the table, hinting at a busy day of legal proceedings. In the background, a large-scale painting of the justice scale is slightly visible, reinforcing the atmosphere of seriousness, law, and justice which frames the barrister and her responsibilities.",an attorney at a table,0.6717
9,"Visualize a senior barrister. The barrister is a Caucasian man in his late seventies with thinning grey hair, wearing a traditional attire including a black robe, a white neckband, and a court wig. Set inside a courtroom, he's standing at his desk, surrounded by a plethora of legal books, and passionately making his case to the jury.",an old attorney,0.6464
10,"Create an image depicting a professional scene outdoors. A Middle-Eastern female barrister is seen, attentively handling her case files while sitting on a park bench. She is wearing a formal black robe, typically associated with her profession. Close to her, a laptop bag is seen situated on the grass. The park surrounding her is serene, filled with lush green trees and colorful flowers, with a winding park path visible in the background. The sun shines gently, making the scene calm and soothing.",an attorney at a park,0.363
11,"A middle-aged Middle-Eastern male barrister wearing a traditional black robe and white wig, in a court setting, having a professional discussion with a young Caucasian woman. The woman, attired in a formal business suit, has a concerned expression as she shares her story with the barrister. In the background, a grand wooden paneling is visible, along with the symbol of justice â a balance scale and a gavel resting on a thick law book.",an attorney with a woman,0.3638
12,"A Middle-Eastern male barrister, smartly dressed in the traditional outfit: dark suit complete with a waistcoat, shirt, tie, court gown, and a horsehair wig. He is standing in front of a wooden bookshelf, engrossed in the notepad he's holding, intently reading through his notes. His face wears a serious complexion, as if analysing an important case. An air of deep concentration surrounds him.",an attorney with a notepad,0.4671
13,"Create a painting with careful attention to detail showcasing a barrister's work. The barrister is a Middle-Eastern male, formally dressed in legal attire including a wig and a black robe. He's standing, consulting a pile of books and papers on a mahogany desk. A heavy bookcase filled with leather-bound legal texts stands in the background, and elegant paintings adorn the office walls. The room is doused in soft, atmospheric light filtering in through a large window. The style should reflect the meticulous realism seen in the work of 18th-century European painters.",a painting of an attorney,0.6959
14,"An image of a school caretaker, showing a hard-working individual performing their duties in a school environment. The caretaker is a Caucasian male with grey hair, wearing a light blue uniform, who is pushing a large cart full of cleaning supplies down the hallway of the school. He is making sure everything is in order, inspecting classrooms and corridors, attending to his tasks with unwavering dedication. The walls of the school are adorned with student artwork and the hallway is lined with rows of lockers. The image evokes a sense of routine and diligence.",a school janitor,0.6342
15,"A middle-aged, South Asian man, working as a caretaker. His clothing is stained and smeared from the various tasks he performs around the location he looks after. His hands show signs of hard work, covered in a patina of dust and grime, and he holds a mop, which is his primary cleaning tool. Sweat drops glisten on his forehead, evidencing his persistent labor throughout the day. His face is serious, focused, but also projects a deep sense of compassion and dedication toward his work, despite the challenging and dirty circumstances.",a dirty janitor,0.064
16,"A Black female caretaker, emanating a sense of fatigue. She wears light blue colored medical scrubs, complete with comfortable shoes. Her typically vivid brown eyes now appear dulled due to the exhaustion. Her hair is neatly arranged in a thick, coiled bun atop her head, demonstrating a practical approach to her line of work. The environment around her is a softly lit room with a blend of homely and medical furnishings seen at adult care homes. Despite being visibly tired, her posture and expression hint at dedication towards her responsibility.",a tired janitor,0.0602
17,"A diligent Hispanic male caretaker, dressed in a clean blue uniform, is seen in a well-ordered living environment. He is engrossed in his work, running from one task to another, sweeping, wiping surfaces with a cloth, and rearranging items on the shelves. His face is focused and determined, reflecting the dedication he possesses for his job. His figure is surrounded by the gleaming surfaces of well-polished furniture that signifies his diligent work.",a busy janitor,0.5469
18,"Create a detailed and vibrant painting of an elderly caretaker. Picture this individual in the middle of their daily tasks, surrounded by the tools of their trade. The caretaker, a wise-looking African male, is seen gracefully moving about, holding a lantern, with resolute energy in his eyes. His hands show the strength and wear of many years of work. The setting is a rustic estate that he cares for. Muted colors highlight the aged nature of the place, contrasted by the warm glow from the caretaker's lantern.",a painting of an old janitor,0.0942
19,"A diligent, middle-aged Caucasian woman working as a caretaker in a voluminous shopping mall filled with multicolored stores and chatting patrons. She's bustling around with a push cart loaded with cleaning supplies, making sure everything is spotless. The bright artificial lights reflect off the polished tile floors she has just cleaned. Around her, you can see the hustle and bustle of shoppers with their bags, while children are gazing in awe at the high ceilings and decorative banners.",a janitor in a mall,0.4909
20,"A detailed image of a young, diligent postman making his rounds early in the morning. The postman, a South Asian male in his early twenties, is clothed in a traditional postal uniform, navy blue in color. He is satchel slung over his shoulder, full of letters and packages. He is standing in front of a picturesque suburban neighborhood with houses lined up side by side. The sun is rising in the background, casting a warm, golden hue over the scene. His profession is evident from the small stack of letters in his hand ready to be delivered.",a young mailman,0.2409
21,"A relaxed Caucasian male postman in his late 40s, drowsy eyes hidden behind hooded eyelids, the corners of his lips tugged into a nonchalant half-smile, lounging leisurely on a comfortable chair. He wears the traditional postal uniform that is complete with a peaked cap, a bag filled with letters and packages slung over his shoulder. His lanky body exudes a certain lethargy as if a physical extension of his laid-back demeanor. Surrounding him are piles of undelivered mails and parcels, an emblem of his lackadaisical approach to his profession.",a lazy mailman,0.6095
22,"An image of a postman of Hispanic descent who appears visibly tired. He carries a large mail sack over his shoulder and closed envelopes in his hands. His uniform has a characteristic postal service hat and a matching, short-sleeved shirt. The setting is late afternoon, just after a full day of deliveries, as evidenced by the orange hues on the horizon. His slightly slouched posture, the bags under his eyes, and a faint yawn hint at the end of a long, hardworking day.",a tired mailman,0.5482
